Name,MBTI,Job
조지 워싱턴,ISTJ,정치인
가을,ISTJ,연예인
강나언,ISTJ,연예인
김국헌,ISTJ,연예인
김동한,ISTJ,연예인
김진우(WINNER),ISTJ,연예인
노지선,ISTJ,연예인
동명,ISTJ,연예인
마크(GOT7),ISTJ,연예인
박소현,ISTJ,연예인
박완규,ISTJ,연예인
배인,ISTJ,연예인
보나,ISTJ,연예인
선율,ISTJ,연예인
성훈,ISTJ,연예인
신비,ISTJ,연예인
시온,ISTJ,연예인
시우민,ISTJ,연예인
써니,ISTJ,연예인
엘,ISTJ,연예인
예찬,ISTJ,연예인
유나(브브걸),ISTJ,연예인
유빈(오마이걸),ISTJ,연예인
이보영,ISTJ,연예인
이서연,ISTJ,연예인
프로미스나인,ISTJ,연예인
이석훈,ISTJ,연예인
이수정,ISTJ,연예인
이원석,ISTJ,연예인
이장원,ISTJ,연예인
제이크,ISTJ,연예인
조상우,ISTJ,연예인
진성호,ISTJ,연예인
차준호,ISTJ,연예인
차태현,ISTJ,연예인
차학연,ISTJ,연예인
헌터(xikers),ISTJ,연예인
혁,ISTJ,연예인
각별,ISTJ,스트리머
김근명,ISTJ,스트리머
나나양,ISTJ,스트리머
라더,ISTJ,스트리머
박막례,ISTJ,스트리머
박여름,ISTJ,스트리머
부동산 읽어주는 남자,ISTJ,스트리머
빅페이스,ISTJ,스트리머
삼식,ISTJ,스트리머
우왁굳,ISTJ,스트리머
윤도영,ISTJ,학원강사
쥐(인터넷 방송인),ISTJ,스트리머
용혜인(제21대 국회의원) ,ISTP,정치인
강소휘(배구선수),ISTP,체육인
김도영(야구선수) ,ISTP,체육인
송교창(농구선수) ,ISTP,체육인
윤성빈(스켈레톤 선수) ,ISTP,체육인
오상욱(펜싱선수) ,ISTP,체육인
오원석(야구선수) ,ISTP,체육인
이정현(농구선수) ,ISTP,체육인
이재현(야구선수) ,ISTP,체육인
곽시양,ISTP,연예인
권진아 ,ISTP,연예인
금조(나인뮤지스A),ISTP,연예인
김성규(인피니트),ISTP,연예인
김채원(LE SSERAFIM),ISTP,연예인
고윤정 ,ISTP,연예인
공유빈 ,ISTP,연예인
나연(TWICE) ,ISTP,연예인
미나(TWICE) ,ISTP,연예인
덱스 ,ISTP,연예인
민영(브브걸) ,ISTP,연예인
민희(CRAVITY),ISTP,연예인
박명수 ,ISTP,연예인
배진영 ,ISTP,연예인
사토 타케루 ,ISTP,연예인
성민(CRAVITY) ,ISTP,연예인
슈가(방탄소년단) ,ISTP,연예인
안유진(IVE) ,ISTP,연예인
양준모 ,ISTP,연예인
우빈(CRAVITY),ISTP,연예인
유빈(원더걸스) ,ISTP,연예인
윤여정 ,ISTP,연예인
은지원 ,ISTP,연예인
은하 ,ISTP,연예인
이종화 ,ISTP,연예인
장규리 ,ISTP,연예인
전도염 ,ISTP,연예인
전우성 ,ISTP,연예인
정해인 ,ISTP,연예인
조유리 ,ISTP,연예인
주우재,ISTP,연예인
지수(BLACKPINK) ,ISTP,연예인
최소라(모델),ISTP,연예인
채원빈 ,ISTP,연예인
케이타(EVNNE),ISTP,연예인
타케나카 유메키 ,ISTP,연예인
하석진,ISTP,연예인
한(Stray Kids) ,ISTP,연예인
한혜진(모델) ,ISTP,연예인
해원 ,ISTP,연예인
혜주(Loossemble) ,ISTP,연예인
홍진경,ISTP,연예인
환웅,ISTP,연예인
휴닝카이 ,ISTP,연예인
가우르 구라 ,ISTP,스트리머
강지 ,ISTP,스트리머
꽃자 ,ISTP,스트리머
눈꽃 ,ISTP,스트리머
배돈 ,ISTP,스트리머
살인마협회장 ,ISTP,스트리머
소람잉 ,ISTP,스트리머
수담 ,ISTP,스트리머
수탉 ,ISTP,스트리머
우주하마 ,ISTP,스트리머
유우양 ,ISTP,스트리머
유혜주 ,ISTP,스트리머
조강현 ,ISTP,스트리머
지여닝 ,ISTP,스트리머
청묘 ,ISTP,스트리머
쵸키 ,ISTP,스트리머
JUNE ,ISTP,스트리머
Veiled,ISTP,스트리머
김건우(리그 오브 레전드) ,ISTP,프로게이머
김광희(리그 오브 레전드) ,ISTP,프로게이머
도재욱(스타크래프트) ,ISTP,프로게이머
류제홍(오버워치) ,ISTP,프로게이머
서대길(리그 오브 레전드) ,ISTP,프로게이머
